,folio_btc_eth_xrp
2012-08-10,12.5613909375
2012-08-13,13.3035061276
2012-08-14,14.4603327474
2012-08-15,14.7331692143
2012-08-16,12.6021973607
2012-08-17,12.6173268294
2012-08-20,11.7012229783
2012-08-21,11.6754098319
2012-08-22,11.7324038228
2012-08-23,11.8364781589
2012-08-24,11.8127392959
2012-08-27,11.9227469434
2012-08-28,11.9168306796
2012-08-29,11.8748290846
2012-08-30,11.6982875749
2012-08-31,11.6590199935
2012-09-03,11.7282865913
2012-09-04,11.8586734608
2012-09-05,11.9058615162
2012-09-06,11.8480129222
2012-09-07,11.8585158946
2012-09-10,11.9327233616
2012-09-11,11.9416640995
2012-09-12,11.9534963319
2012-09-13,12.0325157653
2012-09-14,12.0575633721
2012-09-17,12.2149587818
2012-09-18,12.3408246242
2012-09-19,12.2055570254
2012-09-20,12.2420806255
2012-09-21,12.1840475372
2012-09-24,12.1676877126
2012-09-25,12.1943467355
2012-09-26,12.2059542653
2012-09-27,12.242755742
2012-09-28,12.2278294359
2012-10-01,12.4579545919
2012-10-02,12.4863344138
2012-10-03,12.4609457657
2012-10-04,12.3610314377
2012-10-05,12.249732149
2012-10-08,11.9156766716
2012-10-09,12.0122405088
2012-10-10,11.9673236556
2012-10-11,11.9536160242
2012-10-12,11.8877970242
2012-10-15,11.8818984165
2012-10-16,11.8628106524
2012-10-17,11.9235493523
2012-10-18,11.8252252249
2012-10-19,11.8240875864
2012-10-22,11.7875276584
2012-10-23,11.7863056194
2012-10-24,11.4716801302
2012-10-25,11.3023260485
2012-10-26,11.3133600179
2012-10-29,11.3497847869
2012-10-30,11.3980043251
2012-10-31,11.4591804092
2012-11-01,11.308989763
2012-11-02,11.2925173267
2012-11-05,11.311301223
2012-11-06,11.2680103615
2012-11-07,11.285193345
2012-11-08,11.2942680408
2012-11-09,11.1853470283
2012-11-12,11.3464087013
2012-11-13,11.2846597512
2012-11-14,11.2844346952
2012-11-15,11.5236230599
2012-11-16,12.0895152638
2012-11-19,12.1409600096
2012-11-20,12.0689373654
2012-11-21,12.1100931621
2012-11-22,12.7788748575
2012-11-23,12.7068522134
2012-11-26,12.6039627218
2012-11-27,12.552517976
2012-11-28,12.7068522134
2012-11-29,12.809741705
2012-11-30,12.9332090949
2012-12-03,13.0463875357
2012-12-04,13.7974808244
2012-12-05,13.7666139769
2012-12-06,13.6843023837
2012-12-07,13.8900813669
2012-12-10,13.8180587227
2012-12-11,13.9518150618
2012-12-12,14.0958603501
2012-12-13,14.0958603501
2012-12-14,13.9929708585
2012-12-17,13.6328576379
2012-12-18,13.6843023837
2012-12-19,13.9929708585
2012-12-20,13.9106592652
2012-12-21,13.8900813669
2012-12-24,13.7666139769
2012-12-25,13.7357471295
2012-12-26,13.8592145194
2012-12-27,13.8077697736
2012-12-28,13.8077697736
2012-12-31,13.900370316
2013-01-01,13.6843023837
2013-01-02,13.6637244853
2013-01-03,13.7871918753
2013-01-04,13.8900813669
2013-01-07,13.9826819093
2013-01-08,14.1370161467
2013-01-09,14.1678829942
2013-01-10,14.5485741132
2013-01-11,14.5485741132
2013-01-14,14.7131972997
2013-01-15,14.6617525539
2013-01-16,15.1556221136
2013-01-17,15.947871199
2013-01-18,16.1536501822
2013-01-21,17.285433561
2013-01-22,17.7587262513
2013-01-23,18.0056610311
2013-01-24,17.3883240815
2013-01-25,17.9027715395
2013-01-28,19.2609117998
2013-01-29,20.0943187396
2013-01-30,20.2692308754
2013-01-31,20.9997452369
2013-02-01,21.0923457793
2013-02-04,21.0203231352
2013-02-05,21.1952352709
2013-02-06,21.7919943222
2013-02-07,22.7900223908
2013-02-08,23.314758798
2013-02-11,25.362259681
2013-02-12,25.8972850373
2013-02-13,24.8992579976
2013-02-14,28.0065185864
2013-02-15,27.8830522253
2013-02-18,27.7287190168
2013-02-19,30.2700884306
2013-02-20,30.5067342613
2013-02-21,30.6096237529
2013-02-22,31.1240712109
2013-02-25,31.2784054483
2013-02-26,31.9986318896
2013-02-27,31.7928529064
2013-02-28,34.3445133271
2013-03-01,35.4968746042
2013-03-04,37.1945532735
2013-03-05,41.4953340226
2013-03-06,42.2052694569
2013-03-07,43.2135864747
2013-03-08,45.4565773917
2013-03-11,49.7985159953
2013-03-12,45.5697568613
2013-03-13,48.2757474039
2013-03-14,48.5329711329
2013-03-15,48.3066173381
2013-03-18,53.0909756111
2013-03-19,60.8488443071
2013-03-20,66.3534310791
2013-03-21,72.8972027453
2013-03-22,71.888890872
2013-03-25,75.7266637644
2013-03-26,80.7682509109
2013-03-27,91.4893338785
2013-03-28,88.6701638663
2013-03-29,93.1149899037
2013-04-01,121.389025284
2013-04-02,138.900813668
2013-04-03,135.906178973
2013-04-04,145.89530537
2013-04-05,146.213090998
2013-04-08,235.516410854
2013-04-09,192.106548455
2013-04-10,192.106548455
2013-04-11,192.106548455
2013-04-12,192.106548455
2013-04-15,192.106548455
2013-04-16,192.106548455
2013-04-17,192.106548455
2013-04-18,192.106548455
2013-04-19,192.106548455
2013-04-22,192.106548455
2013-04-23,192.106548455
2013-04-24,192.106548455
2013-04-25,192.106548455
2013-04-26,192.106548455
2013-04-29,192.106548455
2013-04-30,192.106548455
2013-05-01,192.106548455
2013-05-02,192.106548455
2013-05-03,192.106548455
2013-05-06,192.106548455
2013-05-07,192.106548455
2013-05-08,192.103639431
2013-05-09,192.125955555
2013-05-10,192.101796887
2013-05-13,192.031896
2013-05-14,192.090515743
2013-05-15,192.194475057
