,ETH-USD+,cash,value
2016-06-23,0.208647217163,0.791352782837,41879.5732289
2016-06-24,0.207222222222,0.792777777778,41897.8206783
2016-06-27,0.100500181457,0.899499818543,40595.9686729
2016-06-28,0.1225,0.8775,40799.3837093
2016-06-29,0.108580930174,0.891419069826,40657.488982
2016-06-30,0.10057252975,0.89942747025,40596.4227174
2016-07-01,0.0966527503145,0.903347249685,40532.7888016
2016-07-04,0.0533274228983,0.946672577102,40012.8651985
2016-07-05,0.0547092454991,0.945290754501,40025.0291917
2016-07-06,0.0447309298869,0.955269070113,39932.7309506
2016-07-07,0.0780116950668,0.921988304933,40148.6663562
2016-07-08,0.0653820599014,0.934617940099,40042.5208629
2016-07-11,0.0525500512104,0.94744994879,39950.5591566
2016-07-12,0.0512496070114,0.948750392989,39930.5745686
2016-07-13,0.0791374389017,0.920862561098,40146.3378376
2016-07-14,0.0815960514252,0.918403948575,40237.0808993
2016-07-15,0.0803175401725,0.919682459827,40156.8911461
2016-07-18,0.0835809956366,0.916419004363,40167.7808441
2016-07-19,0.111279120399,0.888720879601,40428.7261703
2016-07-20,0.116938321948,0.883061678052,40471.3964388
2016-07-21,0.219444444444,0.780555555556,41271.965075
2016-07-22,0.198621767427,0.801378232573,41013.9761156
2016-07-25,0.100277777778,0.899722222222,39695.6278859
2016-07-26,0.131666666667,0.868333333333,40013.3398673
2016-07-27,0.130614487614,0.869385512386,39940.6297356
2016-07-28,0.133690563407,0.866309436593,39940.3840148
2016-07-29,0.127464322362,0.872535677638,39815.6355638
2016-08-01,0.0244444444444,0.975555555556,38086.586016
2016-08-02,0.071714879698,0.928285120302,38321.2453491
2016-08-03,0.107214299165,0.892785700835,38527.2664021
2016-08-04,0.104166666667,0.895833333333,38468.1800149
2016-08-05,0.105555555556,0.894444444444,38431.7447584
2016-08-08,0.134525631023,0.865474368977,38900.8507811
2016-08-09,0.138564885651,0.861435114349,38900.5365203
2016-08-10,0.129997478293,0.870002521707,38662.0885903
2016-08-11,0.137408366156,0.862591633844,38704.6209392
2016-08-12,0.135555555556,0.864444444444,38605.2687581
2016-08-15,0.127777777778,0.872222222222,38428.4236711
2016-08-16,0.126944444444,0.873055555556,38252.3407642
2016-08-17,0.13,0.87,38252.1069999
2016-08-18,0.128055555556,0.871944444444,38224.3030049
2016-08-19,0.145555555556,0.854444444444,38483.9257701
2016-08-22,0.141388888889,0.858611111111,38349.755364
2016-08-23,0.145,0.855,38349.4783935
2016-08-24,0.1575,0.8425,38520.5312686
2016-08-25,0.159722222222,0.840277777778,38472.1706619
2016-08-26,0.157777777778,0.842222222222,38433.8845783
2016-08-29,0.161944444444,0.838055555556,38444.4208187
2016-08-30,0.179722222222,0.820277777778,38632.1995941
2016-08-31,0.196944444444,0.803055555556,39028.2597554
2016-09-01,0.198611111111,0.801388888889,38946.1607741
2016-09-02,0.200833333333,0.799166666667,38798.4757133
2016-09-05,0.197777777778,0.802222222222,38699.7634064
2016-09-06,0.197777777778,0.802222222222,38627.6874913
2016-09-07,0.196666666667,0.803333333333,38495.728505
2016-09-08,0.209166666667,0.790833333333,38714.4644516
2016-09-09,0.221666666667,0.778333333333,38941.8641493
2016-09-12,0.225277777778,0.774722222222,38848.3110554
2016-09-13,0.229166666667,0.770833333333,38884.7757164
2016-09-14,0.233055555556,0.766944444444,38877.0172768
2016-09-15,0.260555555556,0.739444444444,39368.0436516
2016-09-16,0.266944444444,0.733055555556,39546.7623442
2016-09-19,0.401353369957,0.598646630043,41093.4561618
2016-09-20,0.304166666667,0.695833333333,39966.3996208
2016-09-21,0.285555555556,0.714444444444,39425.191056
2016-09-22,0.300555555556,0.699444444444,39638.9984177
2016-09-23,0.262777777778,0.737222222222,39235.2850468
2016-09-26,0.293055555556,0.706944444444,39376.8715886
2016-09-27,0.301944444444,0.698055555556,39561.559529
2016-09-28,0.299444444444,0.700555555556,39444.7657314
2016-09-29,0.305555555556,0.694444444444,39507.1509578
2016-09-30,0.307777777778,0.692222222222,39479.5847196
2016-10-03,0.312222222222,0.687777777778,39580.554683
2016-10-04,0.309722222222,0.690277777778,39367.0698097
2016-10-05,0.282777777778,0.717222222222,39160.3107932
2016-10-06,0.273055555556,0.726944444444,38996.3041401
2016-10-07,0.249722222222,0.750277777778,38625.5322311
2016-10-10,0.222222222222,0.777777777778,38237.8517373
2016-10-11,0.2225,0.7775,38252.3139803
2016-10-12,0.233888888889,0.766111111111,38432.5028397
2016-10-13,0.231289421304,0.768710578696,38342.7010672
2016-10-14,0.2325,0.7675,38387.3908192
2016-10-17,0.268888888889,0.731111111111,38788.1805195
2016-10-18,0.233670101832,0.766329898168,38352.2140063
2016-10-19,0.236627804958,0.763372195042,38404.4315251
2016-10-20,0.243380513754,0.756619486246,38419.0189573
2016-10-21,0.24334775235,0.75665224765,38411.2629055
2016-10-24,0.198784915893,0.801215084107,37881.6033538
2016-10-25,0.209742705335,0.790257294665,37960.3056647
2016-10-26,0.203298124952,0.796701875048,37911.4293616
2016-10-27,0.181026481443,0.818973518557,37674.1118217
2016-10-28,0.153453825951,0.846546174049,37248.0259258
2016-10-31,0.203888888889,0.796111111111,37530.8170298
2016-11-01,0.190833333333,0.809166666667,37417.7945848
2016-11-02,0.195555555556,0.804444444444,37464.0130341
2016-11-03,0.1975,0.8025,37490.9951579
2016-11-04,0.230277777778,0.769722222222,37672.9205057
2016-11-07,0.207801734441,0.792198265559,37492.2316988
2016-11-08,0.205526130729,0.794473869271,37463.5157523
2016-11-09,0.18084558055,0.81915441945,37305.9355655
2016-11-10,0.175717618938,0.824282381062,37229.5882449
2016-11-11,0.154972652578,0.845027347422,37085.2540764
2016-11-14,0.151680730723,0.848319269277,36923.2516697
2016-11-15,0.1725,0.8275,37045.1345979
2016-11-16,0.15355062751,0.84644937249,36912.6414795
2016-11-17,0.153641898354,0.846358101646,36878.6033925
2016-11-18,0.126818918338,0.873181081662,36637.8604948
2016-11-21,0.138326894874,0.861673105126,36651.669343
2016-11-22,0.173055555556,0.826944444444,36797.8696203
2016-11-23,0.170555555556,0.829444444444,36758.9201886
2016-11-24,0.115830563217,0.884169436783,36396.5120887
2016-11-25,0.150666779029,0.849333220971,36471.8456148
2016-11-28,0.0979322568021,0.902067743198,36041.5319893
2016-11-29,0.0565560558113,0.943443944189,35843.2667379
2016-11-30,0.148055555556,0.851944444444,35938.5041403
2016-12-01,0.131136966089,0.868863033911,35844.5324573
2016-12-02,0.0391243109339,0.960875689066,35398.7304638
2016-12-05,0.0376910189239,0.962308981076,35224.6985285
2016-12-06,0.196579406305,0.803420593695,35396.4318559
2016-12-07,0.290064717265,0.709935282735,36067.5001796
2016-12-08,0.2925,0.7075,36004.5892431
2016-12-09,0.315833333333,0.684166666667,36282.4449931
2016-12-12,0.306388888889,0.693611111111,36187.7404172
2016-12-13,0.309444444444,0.690555555556,36121.8214571
2016-12-14,0.284891973573,0.715108026427,35894.1467987
2016-12-15,0.23698313711,0.76301686289,35307.571303
2016-12-16,0.252222222222,0.747777777778,35403.6862948
