,BTC-USD,cash,value
2015-10-20,0.526767890426,0.473232109574,5509.91127589
2015-10-21,0.578797183928,0.421202816072,5588.84354279
2015-10-22,0.596674786253,0.403325213747,5618.13789552
2015-10-23,0.646944444444,0.353055555556,5685.90120241
2015-10-26,0.669166666667,0.330833333333,5719.38961278
2015-10-27,0.757777777778,0.242222222222,5846.10003085
2015-10-28,0.812573254658,0.187426745342,5979.02838139
2015-10-29,0.86380558506,0.13619441494,6139.97307568
2015-10-30,0.877978277875,0.122021722125,6367.98584805
2015-11-02,0.886627358293,0.113372641707,6917.63344428
2015-11-03,0.895649478416,0.104350521584,7552.8478608
2015-11-04,0.895898513509,0.104101486491,7627.90702816
2015-11-05,0.714444444444,0.285555555556,7315.12753358
2015-11-06,0.614166666667,0.385833333333,7137.73402688
2015-11-09,0.690297883343,0.309702116657,7260.14186118
2015-11-10,0.355555555556,0.644444444444,6681.90048768
2015-11-11,0.202222222222,0.797777777778,6454.49172539
2015-11-12,0.33353771307,0.66646228693,6577.81478306
2015-11-13,0.325078066808,0.674921933192,6577.1783474
2015-11-16,0.311996269973,0.688003730027,6554.23217186
2015-11-17,0.314098926568,0.685901073432,6577.14143749
2015-11-18,0.343654185807,0.656345814193,6589.2054428
2015-11-19,0.289209376505,0.710790623495,6514.84023136
2015-11-20,0.267734071125,0.732265928875,6492.21293077
2015-11-23,0.261422224209,0.738577775791,6497.53594242
2015-11-24,0.24788764356,0.75211235644,6477.50964283
2015-11-25,0.28925610842,0.71074389158,6523.29437758
2015-11-26,0.3957039478,0.6042960522,6673.17370025
2015-11-27,0.437488500845,0.562511499155,6715.81442464
2015-11-30,0.526109336298,0.473890663702,6865.56834084
2015-12-01,0.4375,0.5625,6709.97404909
2015-12-02,0.424013992603,0.575986007397,6695.0425821
2015-12-03,0.423720358235,0.576279641765,6697.63792147
2015-12-04,0.434295571281,0.565704428719,6708.22053618
2015-12-07,0.582777777778,0.417222222222,6969.19675504
2015-12-08,0.682777777778,0.317222222222,7136.7746126
2015-12-09,0.70558106189,0.29441893811,7199.73219983
2015-12-10,0.706670327754,0.293329672246,7193.48484431
2015-12-11,0.895,0.105,7611.1500152
2015-12-14,0.841666666667,0.158333333333,7491.79041352
2015-12-15,0.9,0.1,7785.59979752
2015-12-16,0.841944444444,0.158055555556,7653.41176901
2015-12-17,0.848563969606,0.151436030394,7675.3177566
2015-12-18,0.898356389364,0.101643610636,7783.96283532
2015-12-21,0.736111111111,0.263888888889,7395.17949032
2015-12-22,0.73390615573,0.26609384427,7388.18412634
2015-12-23,0.746510372912,0.253489627088,7455.03097458
2015-12-24,0.828663545711,0.171336454289,7586.57920146
2015-12-25,0.825148907626,0.174851092374,7601.37056145
2015-12-28,0.617222222222,0.382777777778,7152.32031658
2015-12-29,0.67216247678,0.32783752322,7257.95960478
2015-12-30,0.643399640831,0.356600359169,7203.70040458
2015-12-31,0.638548709397,0.361451290603,7233.99097388
2016-01-01,0.67105403354,0.32894596646,7276.9562046
2016-01-04,0.665241917898,0.334758082102,7269.3379695
2016-01-05,0.63928067131,0.36071932869,7245.31719167
2016-01-06,0.63066071118,0.36933928882,7241.11335613
2016-01-07,0.776388888889,0.223611111111,7517.23808395
2016-01-08,0.746958366529,0.253041633471,7463.44322992
2016-01-11,0.717638737449,0.282361262551,7399.64092383
2016-01-12,0.709784736123,0.290215263877,7367.75615899
2016-01-13,0.615555555556,0.384444444444,7215.34331276
2016-01-14,0.597807335594,0.402192664406,7183.76716032
2016-01-15,0.330555555556,0.669444444444,6611.29942233
2016-01-18,0.35035047488,0.64964952512,6682.40147211
2016-01-19,0.339592834574,0.660407165426,6652.20995134
2016-01-20,0.46033176138,0.53966823862,6859.95154273
2016-01-21,0.445300165306,0.554699834694,6826.72342959
2016-01-22,0.338611111111,0.661388888889,6621.05448073
2016-01-25,0.378491478631,0.621508521369,6679.83905493
2016-01-26,0.348260614701,0.651739385299,6660.27626218
2016-01-27,0.377543257529,0.622456742471,6691.10891185
2016-01-28,0.324600072023,0.675399927977,6592.48783643
2016-01-29,0.322913387529,0.677086612471,6595.84265433
2016-02-01,0.280331733995,0.719668266005,6549.92119222
2016-02-02,0.282501053505,0.717498946495,6558.4895064
2016-02-03,0.273226388328,0.726773611672,6529.17526845
2016-02-04,0.333150647537,0.666849352463,6638.24643488
2016-02-05,0.323525308744,0.676474691256,6614.4300733
2016-02-08,0.273035712864,0.726964287136,6537.28653066
2016-02-09,0.273451446452,0.726548553548,6550.15848647
2016-02-10,0.307049287224,0.692950712776,6581.07008353
2016-02-11,0.283586343585,0.716413656415,6567.92084109
2016-02-12,0.307660093993,0.692339906007,6590.1672957
2016-02-15,0.366577539369,0.633422460631,6679.42309565
2016-02-16,0.379397199919,0.620602800081,6711.95472354
2016-02-17,0.428055555556,0.571944444444,6778.55215944
2016-02-18,0.439180737395,0.560819262605,6808.06719993
2016-02-19,0.435639159197,0.564360840803,6797.95504704
2016-02-22,0.528588200408,0.471411799592,6922.4162753
2016-02-23,0.433055555556,0.566944444444,6771.71058922
2016-02-24,0.438078327527,0.561921672473,6791.35939214
2016-02-25,0.439808676026,0.560191323974,6796.69092553
2016-02-26,0.47569302956,0.52430697044,6823.33899286
2016-02-29,0.504772837563,0.495227162437,6890.53833711
2016-03-01,0.493212273941,0.506787726059,6873.09366892
2016-03-02,0.463165568485,0.536834431515,6804.95821678
2016-03-03,0.432703061759,0.567296938241,6761.61345424
2016-03-04,0.380968949104,0.619031050896,6690.7023835
2016-03-07,0.409734295176,0.590265704824,6723.91061306
2016-03-08,0.38558880386,0.61441119614,6703.88644952
2016-03-09,0.402236563299,0.597763436701,6709.06703339
2016-03-10,0.411312089217,0.588687910783,6729.04074387
2016-03-11,0.430865147966,0.569134852034,6750.6346591
2016-03-14,0.407757218376,0.592242781624,6717.0489844
